folder_name,depth,sub_links_count,image_count,video_count,sub_links,image_urls,video_urls
web_AI,0,1,4,1,@https://leesoojeong1124.github.io/web-ai/web_AI,"https://images.unsplash.com/photo-1674027444485-cec3da58eef4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwyfHxBSXxlbnwwfDB8fHwxNzYyNzMyNDYwfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1677442135703-1787eea5ce01?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxBSXxlbnwwfDB8fHwxNzYyNzMyNDYwfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1694903110330-cc64b7e1d21d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw3fHxBSXxlbnwwfDB8fHwxNzYyNzMyNDYwfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1677442136019-21780ecad995?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwzfHxBSXxlbnwwfDB8fHwxNzYyNzMyNDYwfDA&ixlib=rb-4.1.0&q=80&w=1080",https://cdn.pixabay.com/video/2024/02/06/199596-910653729_medium.mp4
web_VR,0,1,6,1,@https://leesoojeong1124.github.io/web-ai/web_VR,"https://images.unsplash.com/photo-1653158861306-e5b3804f6115?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwzfHxWUnxlbnwwfDB8fHwxNzYyNzMyOTgzfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1605647540924-852290f6b0d5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwxfHxWUnxlbnwwfDB8fHwxNzYyNzMyOTgzfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1592478411213-6153e4ebc07d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxWUnxlbnwwfDB8fHwxNzYyNzMyOTgzfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1588590560438-5e27fe3f6b71?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw2fHxWUnxlbnwwfDB8fHwxNzYyNzMyOTgzfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1617802690992-15d93263d3a9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw1fHxWUnxlbnwwfDB8fHwxNzYyNzMyOTgzfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1622048982661-af7d1bdff6c3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw4fHxWUnxlbnwwfDB8fHwxNzYyNzMyOTgzfDA&ixlib=rb-4.1.0&q=80&w=1080",https://cdn.pixabay.com/video/2017/02/27/7978-206030298_medium.mp4
web_airplanes,2,6,7,2,"@https://leesoojeong1124.github.io/web-ai/web_airplanes, @https://leesoojeong1124.github.io/web-ai/web_airplanes/section_level_2/index.html, @https://leesoojeong1124.github.io/web-ai/web_airplanes/section_level_2/text_2.html, @https://leesoojeong1124.github.io/web-ai/web_airplanes/section_level_2/text_1.html, @https://leesoojeong1124.github.io/web-ai/web_airplanes/section_level_2/video/video.html, @https://leesoojeong1124.github.io/web-ai/web_airplanes/section_level_2/image/image.html","https://images.unsplash.com/photo-1547312667-da746e5a78c7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwyfHxhaXJwbGFuZXN8ZW58MHwwfHx8MTc2MjcyMjQxNHww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1593182440709-4b7b56482c55?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw1fHxhaXJwbGFuZXN8ZW58MHwwfHx8MTc2MjcyMjQxNHww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1544975331-f15ed1a1c28f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwxfHxhaXJwbGFuZXN8ZW58MHwwfHx8MTc2MjcyMjQxNHww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1627508535900-feac47ca7d8b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxhaXJwbGFuZXN8ZW58MHwwfHx8MTc2MjcyMjQxNHww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1554725292-bbecd5725a01?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw3fHxhaXJwbGFuZXN8ZW58MHwwfHx8MTc2MjcyMjQxNHww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1692184020140-07637f817013?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw4fHxhaXJwbGFuZXN8ZW58MHwwfHx8MTc2MjcyMjQxNHww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1544016768-982d1554f0b9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwzfHxhaXJwbGFuZXN8ZW58MHwwfHx8MTc2MjcyMjQxNHww&ixlib=rb-4.1.0&q=80&w=1080","https://cdn.pixabay.com/video/2015/08/10/282-135881196_medium.mp4, https://cdn.pixabay.com/video/2016/06/27/3586-172490363_medium.mp4"
web_astronomy,0,1,4,1,@https://leesoojeong1124.github.io/web-ai/web_astronomy,"https://images.unsplash.com/photo-1502134249126-9f3755a50d78?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw3fHxhc3Ryb25vbXl8ZW58MHwwfHx8MTc2Mjc0MTU1N3ww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1444703686981-a3abbc4d4fe3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwxfHxhc3Ryb25vbXl8ZW58MHwwfHx8MTc2Mjc0MTU1N3ww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1462332420958-a05d1e002413?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxhc3Ryb25vbXl8ZW58MHwwfHx8MTc2Mjc0MTU1N3ww&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1465101046530-73398c7f28ca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw1fHxhc3Ryb25vbXl8ZW58MHwwfHx8MTc2Mjc0MTU1N3ww&ixlib=rb-4.1.0&q=80&w=1080",https://cdn.pixabay.com/video/2019/11/19/29238-374487175_medium.mp4
web_auroras,1,5,5,1,"@https://leesoojeong1124.github.io/web-ai/web_auroras, @https://leesoojeong1124.github.io/web-ai/web_auroras/text_2.html, @https://leesoojeong1124.github.io/web-ai/web_auroras/text_1.html, @https://leesoojeong1124.github.io/web-ai/web_auroras/video/video.html, @https://leesoojeong1124.github.io/web-ai/web_auroras/image/image.html","https://images.unsplash.com/photo-1568021202640-319da2ca1806?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw2fHxhdXJvcmFzfGVufDB8MHx8fDE3NjI3NDIxNDF8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1516466723877-e4ec1d736c8a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwyfHxhdXJvcmFzfGVufDB8MHx8fDE3NjI3NDIxNDF8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1568021735466-efd8a4c435af?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw3fHxhdXJvcmFzfGVufDB8MHx8fDE3NjI3NDIxNDF8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1531366936337-7c912a4589a7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwxfHxhdXJvcmFzfGVufDB8MHx8fDE3NjI3NDIxNDF8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1601458498849-86bf5b9f8bc9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw4fHxhdXJvcmFzfGVufDB8MHx8fDE3NjI3NDIxNDF8MA&ixlib=rb-4.1.0&q=80&w=1080",https://cdn.pixabay.com/video/2024/06/29/218646_medium.mp4
web_baseball,2,6,4,2,"@https://leesoojeong1124.github.io/web-ai/web_baseball, @https://leesoojeong1124.github.io/web-ai/web_baseball/section_level_2/index.html, @https://leesoojeong1124.github.io/web-ai/web_baseball/section_level_2/text_2.html, @https://leesoojeong1124.github.io/web-ai/web_baseball/section_level_2/text_1.html, @https://leesoojeong1124.github.io/web-ai/web_baseball/section_level_2/video/video.html, @https://leesoojeong1124.github.io/web-ai/web_baseball/section_level_2/image/image.html","https://images.unsplash.com/photo-1529768167801-9173d94c2a42?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwxfHxiYXNlYmFsbHxlbnwwfDB8fHwxNzYyNzIzNDI3fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1554591203-d6433caa8495?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxiYXNlYmFsbHxlbnwwfDB8fHwxNzYyNzIzNDI3fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1582650448629-3c854f356544?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwzfHxiYXNlYmFsbHxlbnwwfDB8fHwxNzYyNzIzNDI3fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1475440197469-e367ec8eeb19?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw1fHxiYXNlYmFsbHxlbnwwfDB8fHwxNzYyNzIzNDI3fDA&ixlib=rb-4.1.0&q=80&w=1080","https://cdn.pixabay.com/video/2018/02/07/14183-685293315_medium.mp4, https://cdn.pixabay.com/video/2020/07/22/45261-442643042_medium.mp4"
web_basketball,1,6,4,3,"@https://leesoojeong1124.github.io/web-ai/web_basketball, @https://leesoojeong1124.github.io/web-ai/web_basketball/text_2.html, @https://leesoojeong1124.github.io/web-ai/web_basketball/text_3.html, @https://leesoojeong1124.github.io/web-ai/web_basketball/text_1.html, @https://leesoojeong1124.github.io/web-ai/web_basketball/video/video.html, @https://leesoojeong1124.github.io/web-ai/web_basketball/image/image.html","https://images.unsplash.com/photo-1505666287802-931dc83948e9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw2fHxiYXNrZXRiYWxsfGVufDB8MHx8fDE3NjI3MTczMTF8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1504450758481-7338eba7524a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw4fHxiYXNrZXRiYWxsfGVufDB8MHx8fDE3NjI3MTczMTF8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1519861531473-9200262188bf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwyfHxiYXNrZXRiYWxsfGVufDB8MHx8fDE3NjI3MTczMTF8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1474224017046-182ece80b263?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw1fHxiYXNrZXRiYWxsfGVufDB8MHx8fDE3NjI3MTczMTF8MA&ixlib=rb-4.1.0&q=80&w=1080","https://cdn.pixabay.com/video/2020/07/01/43594-436237553_medium.mp4, https://cdn.pixabay.com/video/2020/01/06/30941-383991356_medium.mp4, https://cdn.pixabay.com/video/2024/04/18/208442_medium.mp4"
web_beaches,0,1,5,1,@https://leesoojeong1124.github.io/web-ai/web_beaches,"https://images.unsplash.com/photo-1727994193255-31518875b3ba?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw2fHxiZWFjaGVzfGVufDB8MHx8fDE3NjI3MTY4Nzd8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1484821582734-6c6c9f99a672?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwyfHxiZWFjaGVzfGVufDB8MHx8fDE3NjI3MTY4Nzd8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1600255821058-c4f89958d700?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw1fHxiZWFjaGVzfGVufDB8MHx8fDE3NjI3MTY4Nzd8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/flagged/photo-1557899775-24a0957d3895?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxiZWFjaGVzfGVufDB8MHx8fDE3NjI3MTY4Nzd8MA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1496693927883-41bf761f7b89?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw4fHxiZWFjaGVzfGVufDB8MHx8fDE3NjI3MTY4Nzd8MA&ixlib=rb-4.1.0&q=80&w=1080",https://cdn.pixabay.com/video/2024/03/18/204565-924698132_medium.mp4
web_birds,0,1,5,2,@https://leesoojeong1124.github.io/web-ai/web_birds,"https://images.unsplash.com/photo-1480044965905-02098d419e96?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwzfHxiaXJkc3xlbnwwfDB8fHwxNzYyNzIyOTQyfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1484704324500-528d0ae4dc7d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxiaXJkc3xlbnwwfDB8fHwxNzYyNzIyOTQyfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1470167494176-c2e966a4eb3d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw2fHxiaXJkc3xlbnwwfDB8fHwxNzYyNzIyOTQyfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1542382156909-9ae37b3f56fd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwxfHxiaXJkc3xlbnwwfDB8fHwxNzYyNzIyOTQyfDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1549608276-5786777e6587?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw3fHxiaXJkc3xlbnwwfDB8fHwxNzYyNzIyOTQyfDA&ixlib=rb-4.1.0&q=80&w=1080","https://cdn.pixabay.com/video/2024/02/13/200427-912684284_medium.mp4, https://cdn.pixabay.com/video/2024/09/06/230060_medium.mp4"
web_books,2,6,8,3,"@https://leesoojeong1124.github.io/web-ai/web_books, @https://leesoojeong1124.github.io/web-ai/web_books/section_level_2/index.html, @https://leesoojeong1124.github.io/web-ai/web_books/section_level_2/text_2.html, @https://leesoojeong1124.github.io/web-ai/web_books/section_level_2/text_1.html, @https://leesoojeong1124.github.io/web-ai/web_books/section_level_2/video/video.html, @https://leesoojeong1124.github.io/web-ai/web_books/section_level_2/image/image.html","https://images.unsplash.com/photo-1519682337058-a94d519337bc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw2fHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1497633762265-9d179a990aa6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw0fHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1524578271613-d550eacf6090?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw4fHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1607473129014-0afb7ed09c3a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw3fHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1524995997946-a1c2e315a42f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHw1fHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1495446815901-a7297e633e8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwyfHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1610116306796-6fea9f4fae38?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwxfHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080, https://images.unsplash.com/photo-1550399105-c4db5fb85c18?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MjE0MjN8MHwxfHNlYXJjaHwzfHxib29rc3xlbnwwfDB8fHwxNzYyNzE2MDM5fDA&ixlib=rb-4.1.0&q=80&w=1080","https://cdn.pixabay.com/video/2019/09/25/27230-362518559_medium.mp4, https://cdn.pixabay.com/video/2023/01/05/145428-787039445_medium.mp4, https://cdn.pixabay.com/video/2023/10/15/185096-874643413_medium.mp4"
